venueCategory,count,Kategori
Tanning Salon,20,Layanan Publik
Salad Place,19,Tempat Makan
Car Wash,19,Layanan Publik
Law School,17,Layanan Publik
Bridal Shop,16,Belanja & Hiburan
Arts & Entertainment,13,Belanja & Hiburan
Fraternity House,13,Residental (Perumahan/Privat)
Scandinavian Restaurant,12,Tempat Makan
Cajun / Creole Restaurant,12,Tempat Makan
Housing Development,12,Tempat Kerja
Newsstand,11,Belanja & Hiburan
Castle,11,Wisata
Flea Market,10,Belanja & Hiburan
Taco Place,9,Tempat Makan
Fish & Chips Shop,9,Belanja & Hiburan
Storage Facility,8,Belanja & Hiburan
Malaysian Restaurant,8,Tempat Makan
Latin American Restaurant,8,Tempat Makan
City,7,Layanan Publik
Distillery,7,Tempat Kerja
Animal Shelter,7,Layanan Publik
Portuguese Restaurant,7,Tempat Makan
South American Restaurant,6,Tempat Makan
African Restaurant,6,Tempat Makan
College Theater,6,Layanan Publik
Burrito Place,6,Tempat Makan
Peruvian Restaurant,5,Tempat Makan
Synagogue,5,Layanan Publik
Cuban Restaurant,5,Tempat Makan
Ethiopian Restaurant,4,Tempat Makan
Market,4,Belanja & Hiburan
Moroccan Restaurant,3,Tempat Makan
Swiss Restaurant,2,Tempat Makan
Argentinian Restaurant,2,Tempat Makan
Mac & Cheese Joint,2,Tempat Makan
Pet Service,2,Layanan Publik
Southern / Soul Food Restaurant,1,Tempat Makan
Ski Area,1,Wisata
Arepa Restaurant,1,Tempat Makan
Gluten-free Restaurant,1,Tempat Makan
Afghan Restaurant,1,Tempat Makan
Falafel Restaurant,1,Tempat Makan
