venueCategory,count,Kategori
Museum,175,Wisata
Food,172,Tempat Makan
Bike Shop,169,Belanja & Hiburan
Soup Place,162,Tempat Makan
Sculpture Garden,160,Wisata
Professional & Other Places,159,Layanan Publik
Southern / Soul Food Restaurant,154,Belanja & Hiburan
Gift Shop,151,Belanja & Hiburan
Comedy Club,150,Belanja & Hiburan
Wings Joint,149,Tempat Makan
River,145,Layanan Publik
Greek Restaurant,141,Tempat Makan
Elementary School,140,Layanan Publik
Tattoo Parlor,132,Belanja & Hiburan
Design Studio,131,Layanan Publik
Rest Area,131,Layanan Publik
Video Game Store,123,Belanja & Hiburan
Casino,123,Belanja & Hiburan
Jewelry Store,121,Belanja & Hiburan
Falafel Restaurant,117,Tempat Makan
Snack Place,115,Tempat Makan
Brewery,114,Tempat Kerja
Market,113,Belanja & Hiburan
Factory,112,Tempat Kerja
Record Shop,112,Belanja & Hiburan
Zoo,104,Wisata
Pool Hall,100,Layanan Publik
South American Restaurant,99,Tempat Makan
Nursery School,94,Layanan Publik
Brazilian Restaurant,93,Tempat Makan
Tanning Salon,89,Layanan Publik
Nail Salon,88,Layanan Publik
Eastern European Restaurant,88,Tempat Makan
Mobile Phone Shop,87,Belanja & Hiburan
History Museum,83,Wisata
Science Museum,81,Wisata
Arts & Entertainment,80,Wisata
Australian Restaurant,78,Tempat Makan
Law School,77,Layanan Publik
Racetrack,76,Layanan Publik
College Stadium,75,Layanan Publik
Trade School,71,Layanan Publik
Spiritual Center,64,Layanan Publik
Funeral Home,64,Layanan Publik
Animal Shelter,62,Layanan Publik
Temple,61,Layanan Publik
Molecular Gastronomy Restaurant,58,Tempat Makan
Recycling Facility,56,Layanan Publik
College & University,56,Layanan Publik
Middle School,56,Layanan Publik
Flower Shop,56,Belanja & Hiburan
Music Store,54,Belanja & Hiburan
Dim Sum Restaurant,54,Tempat Makan
Medical School,53,Layanan Publik
Bridal Shop,51,Belanja & Hiburan
Financial or Legal Service,50,Layanan Publik
Hobby Shop,49,Belanja & Hiburan
Cajun / Creole Restaurant,49,Tempat Makan
Shrine,48,Layanan Publik
Rental Car Location,48,Belanja & Hiburan
Dumpling Restaurant,48,Tempat Makan
Travel & Transport,44,Transportasi Umum
Malaysian Restaurant,43,Tempat Makan
Video Store,42,Belanja & Hiburan
Fraternity House,41,Residental (Perumahan/Privat)
African Restaurant,40,Tempat Makan
Filipino Restaurant,40,Tempat Makan
College Theater,39,Layanan Publik
Travel Lounge,38,Layanan Publik
Shop & Service,38,Belanja & Hiburan
Embassy / Consulate,37,Tempat Kerja
Mosque,36,Layanan Publik
Mac & Cheese Joint,36,Tempat Makan
Camera Store,34,Belanja & Hiburan
Ski Area,32,Wisata
Car Wash,32,Layanan Publik
Car Dealership,31,Belanja & Hiburan
Winery,31,Belanja & Hiburan
Antique Shop,27,Belanja & Hiburan
Public Art,25,Wisata
Garden Center,25,Wisata
Fair,24,Belanja & Hiburan
Military Base,23,Residental (Perumahan/Privat)
Peruvian Restaurant,23,Tempat Makan
Scandinavian Restaurant,22,Tempat Makan
Argentinian Restaurant,22,Tempat Makan
Turkish Restaurant,20,Tempat Makan
Arepa Restaurant,20,Tempat Makan
Nightlife Spot,20,Wisata
Ethiopian Restaurant,18,Tempat Makan
Board Shop,16,Belanja & Hiburan
Storage Facility,15,Layanan Publik
Gaming Cafe,14,Tempat Makan
Moroccan Restaurant,13,Tempat Makan
Newsstand,12,Belanja & Hiburan
Swiss Restaurant,12,Tempat Makan
Fish & Chips Shop,11,Tempat Makan
Planetarium,11,Wisata
Aquarium,11,Wisata
Portuguese Restaurant,9,Tempat Makan
Bike Rental / Bike Share,9,Layanan Publik
Distillery,8,Tempat Kerja
Internet Cafe,6,Tempat Makan
Gluten-free Restaurant,5,Tempat Makan
Afghan Restaurant,4,Tempat Makan
Sorority House,4,Residental (Perumahan/Privat)
Pet Service,3,Layanan Publik
Photography Lab,2,Layanan Publik
Castle,2,Wisata
Motorcycle Shop,2,Belanja & Hiburan
Music School,1,Layanan Publik
